transect_id,vertex_index,latitude,longitude,elevation,dam
16,1,20.95942111,71.19972823,-6.59,-4.66
16,2,20.95943066,71.19971191,-6.65,-4.66
16,3,20.95944021,71.1996956,-6.66,-4.66
16,4,20.95944976,71.19967928,-6.66,-4.66
16,5,20.95945932,71.19966296,-6.65,-4.66
16,6,20.95946887,71.19964664,-6.21,-4.66
16,7,20.95947842,71.19963033,-5.45,-4.66
16,8,20.95948797,71.19961401,-5.18,-4.66
16,9,20.95949752,71.19959769,-5.32,-4.66
16,10,20.95950708,71.19958138,-5.1,-4.66
16,11,20.95940201,71.19976086,-6.46,-4.66
16,12,20.95939245,71.19977718,-6.36,-4.66
16,13,20.9593829,71.1997935,-6.19,-4.66
16,14,20.95937335,71.19980981,-5.11,-4.66
16,15,20.9593638,71.19982613,-4.2,-4.66
16,16,20.95935425,71.19984245,-2.99,-4.66
16,17,20.95934469,71.19985877,-2.07,-4.66
16,18,20.95933514,71.19987508,-1.97,-4.66
16,19,20.95932559,71.1998914,0.95,-4.66
16,20,20.95931604,71.19990772,1.09,-4.66
17,0,20.95933675,71.19969158,-6.49,-4.6
17,1,20.95934802,71.19967655,-6.55,-4.6
17,2,20.95935928,71.19966153,-6.46,-4.6
17,3,20.95937055,71.1996465,-6.51,-4.6
17,4,20.95938182,71.19963147,-6.6,-4.6
17,5,20.95939308,71.19961645,-6.56,-4.6
17,6,20.95940435,71.19960142,-6.27,-4.6
17,7,20.95941562,71.19958639,-6.03,-4.6
17,8,20.95942688,71.19957137,-5.6,-4.6
17,9,20.95943815,71.19955634,-5.22,-4.6
17,10,20.95944941,71.19954132,-4.45,-4.6
17,11,20.95932548,71.1997066,-6.51,-4.6
17,12,20.95931422,71.19972163,-6.48,-4.6
17,13,20.95930295,71.19973666,-5.48,-4.6
17,14,20.95929168,71.19975168,-3.46,-4.6
17,15,20.95928042,71.19976671,-4.28,-4.6
17,16,20.95926915,71.19978174,-4.22,-4.6
17,17,20.95925788,71.19979676,-3.75,-4.6
17,18,20.95924662,71.19981179,-3.2,-4.6
17,19,20.95923535,71.19982681,-2.96,-4.6
17,20,20.95922408,71.19984184,-2.71,-4.6
18,0,20.95927129,71.19962535,-6.65,-4.7
18,1,20.95928373,71.19961141,-6.59,-4.7
18,2,20.95929617,71.19959748,-6.58,-4.7
18,3,20.95930861,71.19958354,-6.59,-4.7
18,4,20.95932106,71.1995696,-6.49,-4.7
18,5,20.9593335,71.19955567,-6.35,-4.7
18,6,20.95934594,71.19954173,-5.25,-4.7
18,7,20.95935838,71.19952779,-4.76,-4.7
18,8,20.95937082,71.19951386,-4.2,-4.7
18,9,20.95938326,71.19949992,-4.45,-4.7
18,10,20.9593957,71.19948598,-3.26,-4.7
18,11,20.95925885,71.19963929,-6.7,-4.7
18,12,20.95924641,71.19965322,-6.62,-4.7
18,13,20.95923397,71.19966716,-6.64,-4.7
18,14,20.95922153,71.1996811,0.04,-4.7
18,15,20.95920909,71.19969503,0.31,-4.7
18,16,20.95919664,71.19970897,-1.11,-4.7
18,17,20.9591842,71.19972291,-2.16,-4.7
18,18,20.95917176,71.19973684,-1.79,-4.7
18,19,20.95915932,71.19975078,-1.49,-4.7
18,20,20.95914688,71.19976472,-1.21,-4.7
19,0,20.95920583,71.19955912,-6.52,-4.62
19,1,20.95921827,71.19954519,-6.52,-4.62
19,2,20.95923071,71.19953125,-6.61,-4.62
19,3,20.95924316,71.19951731,-6.48,-4.62
19,4,20.9592556,71.19950338,-5.16,-4.62
19,5,20.95926804,71.19948944,-5.77,-4.62
19,6,20.95928048,71.1994755,-5.49,-4.62
19,7,20.95929292,71.19946157,-4.82,-4.62
19,8,20.95930536,71.19944763,-4.12,-4.62
19,9,20.9593178,71.19943369,-3.84,-4.62
19,10,20.95933024,71.19941976,-3.74,-4.62
19,11,20.95919339,71.19957306,-6.62,-4.62
19,12,20.95918095,71.199587,-6.28,-4.62
19,13,20.95916851,71.19960093,-6.31,-4.62
19,14,20.95915607,71.19961487,0.94,-4.62
19,15,20.95914363,71.1996288,3.68,-4.62
19,16,20.95913119,71.19964274,4.93,-4.62
19,17,20.95911874,71.19965668,5.19,-4.62
19,18,20.9591063,71.19967061,5.07,-4.62
19,19,20.95909386,71.19968455,1.05,-4.62
19,20,20.95908142,71.19969849,1.4,-4.62
20,0,20.95914037,71.19949289,-6.52,-4.68
20,1,20.95915281,71.19947896,-6.58,-4.68
20,2,20.95916526,71.19946502,-6.44,-4.68
20,3,20.9591777,71.19945108,-6.29,-4.68
20,4,20.95919014,71.19943715,-5.72,-4.68
20,5,20.95920258,71.19942321,-5.49,-4.68
20,6,20.95921502,71.19940927,-5.1,-4.68
20,7,20.95922746,71.19939534,-5.0,-4.68
20,8,20.9592399,71.1993814,-4.23,-4.68
20,9,20.95925234,71.19936747,-3.93,-4.68
20,10,20.95926478,71.19935353,-3.31,-4.68
20,11,20.95912793,71.19950683,-6.45,-4.68
20,12,20.95911549,71.19952077,-6.68,-4.68
20,13,20.95910305,71.1995347,-5.57,-4.68
20,14,20.95909061,71.19954864,-6.32,-4.68
20,15,20.95907817,71.19956258,-0.15,-4.68
20,16,20.95906573,71.19957651,0.75,-4.68
20,17,20.95905329,71.19959045,0.49,-4.68
20,18,20.95904084,71.19960439,0.02,-4.68
20,19,20.9590284,71.19961832,0.49,-4.68
20,20,20.95901596,71.19963226,1.39,-4.68
21,0,20.95907491,71.19942667,-6.55,-4.84
21,1,20.95908736,71.19941273,-6.45,-4.84
21,2,20.9590998,71.19939879,-6.46,-4.84
21,3,20.95911224,71.19938486,-6.41,-4.84
21,4,20.95912468,71.19937092,-6.22,-4.84
21,5,20.95913712,71.19935698,-5.62,-4.84
21,6,20.95914956,71.19934305,-4.3,-4.84
21,7,20.959162,71.19932911,-4.09,-4.84
21,8,20.95917444,71.19931517,-3.9,-4.84
21,9,20.95918688,71.19930124,-3.84,-4.84
21,10,20.95919933,71.1992873,-3.83,-4.84
21,11,20.95906247,71.1994406,-6.66,-4.84
21,12,20.95905003,71.19945454,-6.82,-4.84
21,13,20.95903759,71.19946848,-6.84,-4.84
21,14,20.95902515,71.19948241,-6.8,-4.84
21,15,20.95901271,71.19949635,-2.44,-4.84
21,16,20.95900027,71.19951029,0.4,-4.84
21,17,20.95898783,71.19952422,0.67,-4.84
21,18,20.95897539,71.19953816,0.77,-4.84
21,19,20.95896294,71.19955209,0.69,-4.84
21,20,20.9589505,71.19956603,1.36,-4.84
22,0,20.95900946,71.19936044,-6.57,-4.85
22,1,20.9590219,71.1993465,-6.51,-4.85
22,2,20.95903434,71.19933257,-6.41,-4.85
22,3,20.95904678,71.19931863,-6.26,-4.85
22,4,20.95905922,71.19930469,-6.12,-4.85
22,5,20.95907166,71.19929076,-5.73,-4.85
22,6,20.9590841,71.19927682,-4.83,-4.85
22,7,20.95909654,71.19926288,-3.57,-4.85
22,8,20.95910898,71.19924895,-3.64,-4.85
22,9,20.95912143,71.19923501,-3.94,-4.85
22,10,20.95913387,71.19922107,-3.6,-4.85
22,11,20.95899701,71.19937437,-6.56,-4.85
22,12,20.95898457,71.19938831,-6.54,-4.85
22,13,20.95897213,71.19940225,-6.85,-4.85
22,14,20.95895969,71.19941618,-6.85,-4.85
22,15,20.95894725,71.19943012,-2.23,-4.85
22,16,20.95893481,71.19944406,-1.98,-4.85
22,17,20.95892237,71.19945799,-1.11,-4.85
22,18,20.95890993,71.19947193,-0.54,-4.85
22,19,20.95889749,71.19948587,0.85,-4.85
22,20,20.95888504,71.1994998,1.56,-4.85
23,0,20.958944,71.19929421,-6.57,-4.7
23,1,20.95895644,71.19928027,-6.55,-4.7
23,2,20.95896888,71.19926634,-6.34,-4.7
23,3,20.95898132,71.1992524,-6.43,-4.7
23,4,20.95899376,71.19923846,-6.21,-4.7
23,5,20.9590062,71.19922453,-5.52,-4.7
23,6,20.95901864,71.19921059,-5.01,-4.7
23,7,20.95903108,71.19919665,-4.59,-4.7
23,8,20.95904353,71.19918272,-4.04,-4.7
23,9,20.95905597,71.19916878,-3.99,-4.7
23,10,20.95906841,71.19915485,-3.31,-4.7
23,11,20.95893156,71.19930815,-6.51,-4.7
23,12,20.95891911,71.19932208,-6.54,-4.7
23,13,20.95890667,71.19933602,-6.7,-4.7
23,14,20.95889423,71.19934996,-6.67,-4.7
23,15,20.95888179,71.19936389,-2.41,-4.7
23,16,20.95886935,71.19937783,-0.19,-4.7
23,17,20.95885691,71.19939177,-1.74,-4.7
23,18,20.95884447,71.1994057,-1.46,-4.7
23,19,20.95883203,71.19941964,0.31,-4.7
23,20,20.95881959,71.19943358,1.4,-4.7
24,0,20.95887854,71.19922798,-6.55,-4.67
24,1,20.95889098,71.19921405,-6.6,-4.67
24,2,20.95890342,71.19920011,-6.56,-4.67
24,3,20.95891586,71.19918617,-6.51,-4.67
24,4,20.9589283,71.19917224,-6.35,-4.67
24,5,20.95894074,71.1991583,-5.49,-4.67
24,6,20.95895318,71.19914436,-4.86,-4.67
24,7,20.95896563,71.19913043,-4.54,-4.67
24,8,20.95897807,71.19911649,-4.17,-4.67
24,9,20.95899051,71.19910255,-4.16,-4.67
24,10,20.95900295,71.19908862,-4.06,-4.67
24,11,20.9588661,71.19924192,-6.41,-4.67
24,12,20.95885366,71.19925586,-6.46,-4.67
24,13,20.95884121,71.19926979,-6.67,-4.67
24,14,20.95882877,71.19928373,-5.13,-4.67
24,15,20.95881633,71.19929767,-0.69,-4.67
24,16,20.95880389,71.1993116,-0.38,-4.67
24,17,20.95879145,71.19932554,-1.12,-4.67
24,18,20.95877901,71.19933947,-1.13,-4.67
24,19,20.95876657,71.19935341,0.39,-4.67
24,20,20.95875413,71.19936735,1.28,-4.67
25,0,20.95881308,71.19916175,-6.5,-4.67
25,1,20.95882552,71.19914782,-6.53,-4.67
